,zip,CAND,TRANSACTION_AMT
0, 3102,B.S.,400
1,000 H,B.S.,110
2,000 V,B.S.,5
3,00000,B.S.,1007702
4,00000,H.C.,3000
5,00001,B.S.,300
6,00003,H.C.,600
7,00006,H.C.,275
8,00009,B.S.,100
9,00010,B.S.,1927
10,00011,B.S.,231
11,00018,B.S.,490
12,00020,B.S.,100
13,00023,B.S.,201
14,00030,B.S.,100
15,00035,B.S.,300
16,00037,B.S.,250
17,00041,B.S.,250
18,00042,B.S.,5
19,00052,B.S.,230
20,00054,B.S.,107
21,00058,B.S.,200
22,00059,B.S.,250
23,00100,B.S.,400
24,00106,B.S.,25
25,00116,B.S.,48
26,00120,B.S.,123
27,00122,B.S.,50
28,00135,H.C.,150
29,00139,B.S.,400
30,00141,B.S.,750
31,00145,B.S.,427
32,00151,B.S.,500
33,00153,B.S.,100
34,00160,B.S.,3000
35,00180,B.S.,50
36,00187,H.C.,2700
37,00198,B.S.,1100
38,00220,B.S.,62
39,00273,B.S.,750
40,00280,B.S.,500
41,00371,B.S.,135
42,00454,B.S.,1000
43,00458,B.S.,750
44,00500,B.S.,20
45,00520,B.S.,35
46,00591,B.S.,274
47,00600,B.S.,252
48,00602,B.S.,2295
49,00603,B.S.,486
50,00603,H.C.,2700
51,00605,H.C.,1000
52,00610,H.C.,250
53,00612,B.S.,3802
54,00622,B.S.,150
55,00624,B.S.,70
56,00641,B.S.,1928
57,00646,B.S.,377
58,00646,H.C.,22900
59,00653,H.C.,1624
60,00658,B.S.,85
61,00659,H.C.,112
62,00660,H.C.,2000
63,00662,B.S.,102
64,00662,H.C.,125
65,00669,B.S.,1157
66,00676,H.C.,500
67,00677,H.C.,5400
68,00680,B.S.,801
69,00680,H.C.,5400
70,00681,B.S.,524
71,00681,H.C.,4000
72,00683,B.S.,1120
73,00683,H.C.,200
74,00684,B.S.,204
75,00685,B.S.,78
76,00692,H.C.,3000
77,00693,H.C.,2250
78,00694,H.C.,1000
79,00703,B.S.,315
80,00705,B.S.,300
81,00708,B.S.,1206
82,00712,B.S.,200
83,00715,H.C.,2700
84,00717,H.C.,2700
85,00718,B.S.,1728
86,00719,B.S.,2038
87,00721,B.S.,176
88,00725,B.S.,938
89,00725,H.C.,6116
90,00726,H.C.,3700
91,00727,H.C.,250
92,00729,B.S.,866
93,00732,H.C.,1000
94,00734,H.C.,2700
95,00735,H.C.,40
96,00736,B.S.,1378
97,00736,H.C.,600
98,00737,B.S.,95
99,00737,H.C.,8750
100,00738,B.S.,475
101,00738,H.C.,1000
102,00745,B.S.,1500
103,00745,H.C.,500
104,00754,B.S.,150
105,00757,B.S.,100
106,00765,B.S.,102
107,00769,H.C.,2700
108,00773,H.C.,3228
109,00775,B.S.,2469
110,00780,B.S.,250
111,00780,H.C.,770
112,00791,B.S.,355
113,00791,H.C.,7400
114,00792,H.C.,655
115,00795,B.S.,315
116,00801,B.S.,3761
117,00801,H.C.,300
118,00802,B.S.,6823
119,00802,H.C.,7342
120,00803,B.S.,213
121,00803,H.C.,1750
122,00804,B.S.,4700
123,00804,H.C.,3000
124,00820,B.S.,3502
125,00820,H.C.,2320
126,00821,H.C.,2700
127,00822,H.C.,40
128,00823,B.S.,100
129,00823,H.C.,150
130,00824,H.C.,327
131,00830,B.S.,3295
132,00830,H.C.,50
133,00831,B.S.,6576
134,00840,H.C.,200
135,00841,B.S.,1000
136,00841,H.C.,100
137,00851,B.S.,3815
138,00851,H.C.,201
139,00864,B.S.,235
140,00901,B.S.,7964
141,00901,H.C.,6275
142,00902,B.S.,100
143,00902,H.C.,11600
144,00907,B.S.,8791
145,00907,H.C.,51000
146,00908,B.S.,710
147,00908,H.C.,13500
148,00909,H.C.,3700
149,00910,B.S.,1515
150,00910,H.C.,8515
151,00911,B.S.,2247
152,00911,H.C.,17269
153,00912,H.C.,4200
154,00913,B.S.,722
155,00913,H.C.,6655
156,00914,H.C.,9100
157,00917,B.S.,330
158,00917,H.C.,1000
159,00918,B.S.,5930
160,00918,H.C.,17400
161,00919,B.S.,4339
162,00919,H.C.,22600
163,00920,B.S.,1349
164,00920,H.C.,6400
165,00922,H.C.,6400
166,00923,B.S.,270
167,00923,H.C.,275
168,00924,B.S.,600
169,00924,H.C.,533
170,00925,H.C.,75
171,00926,B.S.,2890
172,00926,H.C.,34180
173,00927,B.S.,6020
174,00927,H.C.,24867
175,00928,B.S.,444
176,00928,H.C.,1500
177,00929,H.C.,3700
178,00930,B.S.,100
179,00936,B.S.,724
180,00936,H.C.,31375
181,00949,B.S.,553
182,00949,H.C.,7900
183,00950,B.S.,921
184,00950,H.C.,2950
185,00952,H.C.,2600
186,00953,B.S.,764
187,00953,H.C.,2600
188,00956,H.C.,269
189,00958,H.C.,194
190,00959,B.S.,659
191,00959,H.C.,500
192,00960,H.C.,16100
193,00961,B.S.,615
194,00961,H.C.,8308
195,00966,B.S.,2080
196,00966,H.C.,49292
197,00968,H.C.,13607
198,00969,B.S.,1692
199,00969,H.C.,6765
200,00971,H.C.,1000
201,00976,B.S.,1171
202,00976,H.C.,2435
203,00977,B.S.,1091
204,00978,H.C.,90
205,00979,B.S.,578
206,00979,H.C.,5534
207,00983,B.S.,254
208,00983,H.C.,3700
209,00984,H.C.,2700
210,00985,B.S.,50
211,00987,B.S.,530
212,00CEN,B.S.,100
213,00N/A,B.S.,100
214,00NW7,B.S.,50
215,00NW8,B.S.,100
216,01001,B.S.,1192
217,01001,H.C.,750
218,01002,B.S.,162422
219,01002,H.C.,17822
220,01003,B.S.,173
221,01004,B.S.,2139
222,01004,H.C.,750
223,01005,B.S.,5103
224,01005,H.C.,566
225,01007,B.S.,23164
226,01007,H.C.,2932
227,01008,B.S.,943
228,01009,B.S.,34
229,01010,B.S.,501
230,01011,B.S.,2130
231,01012,B.S.,5203
232,01013,B.S.,3376
233,01020,B.S.,5767
234,01020,H.C.,933
235,01024,B.S.,54
236,01026,B.S.,1962
237,01027,B.S.,19918
238,01027,H.C.,9090
239,01028,B.S.,5893
240,01028,H.C.,2569
241,01029,B.S.,104
242,01030,B.S.,3052
243,01030,H.C.,390
244,01031,B.S.,50
245,01032,B.S.,2229
246,01033,B.S.,2858
247,01033,H.C.,1350
248,01034,B.S.,288
249,01034,H.C.,50
250,01035,B.S.,6563
251,01035,H.C.,420
252,01036,B.S.,4371
253,01036,H.C.,2050
254,01037,B.S.,1409
255,01037,H.C.,400
256,01038,B.S.,11914
257,01038,H.C.,410
258,01039,B.S.,11952
259,01039,H.C.,748
260,01040,B.S.,29011
261,01040,H.C.,8569
262,01050,B.S.,3203
263,01050,H.C.,1231
264,01051,B.S.,700
265,01053,B.S.,12085
266,01053,H.C.,1096
