zip5,indi_bern,indi_hill,count_bern,count_hill,amt_bern,amt_hill
,608.0,843.0,2471.0,1548.0,243845.0,1258317.0
 3102,1.0,0.0,4.0,0.0,400.0,0.0
 RH6 ,1.0,0.0,1.0,0.0,100.0,0.0
000 H,1.0,0.0,3.0,0.0,110.0,0.0
000 V,1.0,0.0,1.0,0.0,5.0,0.0
00000,1145.0,4.0,6622.0,4.0,1007702.0,3000.0
00001,1.0,0.0,2.0,0.0,300.0,0.0
00003,0.0,2.0,0.0,3.0,0.0,600.0
00006,0.0,1.0,0.0,4.0,0.0,275.0
00009,1.0,0.0,1.0,0.0,100.0,0.0
00010,2.0,0.0,23.0,0.0,1927.0,0.0
00011,1.0,0.0,9.0,0.0,231.0,0.0
00018,1.0,0.0,8.0,0.0,490.0,0.0
00020,1.0,0.0,1.0,0.0,100.0,0.0
00023,1.0,0.0,11.0,0.0,201.0,0.0
00030,1.0,0.0,1.0,0.0,100.0,0.0
00035,1.0,0.0,3.0,0.0,300.0,0.0
00037,1.0,0.0,1.0,0.0,250.0,0.0
00041,1.0,0.0,1.0,0.0,250.0,0.0
00042,1.0,0.0,1.0,0.0,5.0,0.0
00052,1.0,0.0,12.0,0.0,230.0,0.0
00054,1.0,0.0,8.0,0.0,107.0,0.0
00058,1.0,0.0,3.0,0.0,200.0,0.0
00059,1.0,0.0,1.0,0.0,250.0,0.0
00100,1.0,0.0,4.0,0.0,400.0,0.0
00106,1.0,0.0,1.0,0.0,25.0,0.0
00116,1.0,0.0,4.0,0.0,48.0,0.0
00120,1.0,0.0,5.0,0.0,123.0,0.0
00122,1.0,0.0,1.0,0.0,50.0,0.0
00135,0.0,1.0,0.0,3.0,0.0,150.0
00139,1.0,0.0,4.0,0.0,400.0,0.0
00141,1.0,0.0,3.0,0.0,750.0,0.0
00145,1.0,0.0,4.0,0.0,427.0,0.0
00151,1.0,0.0,1.0,0.0,500.0,0.0
00153,1.0,0.0,1.0,0.0,100.0,0.0
00160,1.0,0.0,6.0,0.0,3000.0,0.0
00180,1.0,0.0,1.0,0.0,50.0,0.0
00187,0.0,1.0,0.0,1.0,0.0,2700.0
00198,2.0,0.0,4.0,0.0,1100.0,0.0
00210,1.0,0.0,10.0,0.0,261.0,0.0
00220,1.0,0.0,2.0,0.0,62.0,0.0
00251,1.0,0.0,26.0,0.0,435.0,0.0
00273,1.0,0.0,3.0,0.0,750.0,0.0
00280,1.0,0.0,1.0,0.0,500.0,0.0
00371,1.0,0.0,5.0,0.0,135.0,0.0
00454,1.0,0.0,2.0,0.0,1000.0,0.0
00458,1.0,0.0,3.0,0.0,750.0,0.0
00500,1.0,0.0,1.0,0.0,20.0,0.0
00520,1.0,0.0,7.0,0.0,35.0,0.0
00591,2.0,0.0,30.0,0.0,274.0,0.0
00600,1.0,0.0,10.0,0.0,252.0,0.0
00602,2.0,0.0,29.0,0.0,2295.0,0.0
00603,3.0,1.0,33.0,2.0,486.0,2700.0
00605,0.0,2.0,0.0,2.0,0.0,1000.0
00610,0.0,1.0,0.0,1.0,0.0,250.0
00612,4.0,0.0,75.0,0.0,3802.0,0.0
00622,1.0,0.0,4.0,0.0,150.0,0.0
00624,1.0,0.0,3.0,0.0,70.0,0.0
00641,1.0,0.0,21.0,0.0,1928.0,0.0
